source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!31289b4a	!72db8031	[2514534887]	[-51]	[]	[]	1782599772	7	6
!31289b4a	!72db8031	[2514534887,3679577712]	[-51,-53]	[]	[]	1782599772	7	5
!31289b4a	!72db8031	[2514534887,1827327771,2718568032]	[-51,-29,-44]	[]	[]	1782599773	7	5
!31289b4a	!72db8031	[2514534887,1827327771,2086340980]	[-51,-29,35]	[]	[]	1782599773	7	6
!31289b4a	!72db8031	[2514534887,2726902840,2280678240,517776054]	[-51,7,0,-56]	[]	[]	1782599773	7	4
!31289b4a	!72db8031	[4294967295,4226746274]	[-128,2]	[]	[]	1782599776	7	5
!31289b4a	!72db8031	[4294967295,4226746274,501818444]	[-128,2,37]	[]	[]	1782599777	7	5
!ccc1847e	!80206758	[2697721328,1991451555,2224122300,3912808039,2140729238]	[8,-31,-28,-33,1]	[]	[]	1782599791	7	2
!ccc1847e	!41833c6d	[2697721328,1991451555,3175772276]	[14,-36,-61]	[]	[]	1782599874	7	5
!ccc1847e	!41833c6d	[2697721328,1991451555,101750730]	[14,-36,-46]	[]	[]	1782599875	7	4
!ccc1847e	!41833c6d	[2697721328,1991451555,118011131]	[14,-36,-15]	[]	[]	1782599881	7	4
!ccc1847e	!41833c6d	[2697721328,1991451555,2224122300,3317224028]	[14,-36,-41,-68]	[]	[]	1782599884	7	3
!ccc1847e	!41833c6d	[2697721328,1991451555,101750730,214943308,178191164,3461879968]	[14,-36,-46,-57,-67,-55]	[]	[]	1782599884	7	1
!ccc1847e	!b29fa5e8	[4294967295,1991451555]	[-128,-33]	[]	[]	1782600487	7	5
!ccc1847e	!b29fa5e8	[4294967295,1991451555,184382828,3175772276]	[-128,-33,-63,26]	[]	[]	1782600489	7	4
!ccc1847e	!b29fa5e8	[4294967295,1991451555,950692238,3441378501,1418724178,873705748,1481930160]	[-128,-33,-55,-62,-41,-13,-49]	[]	[]	1782600497	7	\N
!31289b4a	!677df4fa	[1419604483,382653020]	[-14,0]	[]	[]	1782600660	7	6
!31289b4a	!677df4fa	[1419604483,4134128864]	[-14,-8]	[]	[]	1782600660	7	6
!31289b4a	!677df4fa	[1419604483]	[-14]	[]	[]	1782600660	7	6
!31289b4a	!677df4fa	[1419604483,4057180619,2086340980]	[-14,11,-51]	[]	[]	1782600661	7	5
!31289b4a	!677df4fa	[1419604483,2732916520,2514534887,463541796]	[-14,-38,-7,-50]	[]	[]	1782600662	7	5
!31289b4a	!677df4fa	[1419604483,2732916520,2514534887,1919137415,2718568032]	[-14,-38,-7,-59,-50]	[]	[]	1782600663	7	3
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,2732916520]	[4,10]	1782600663	4	2
!31289b4a	!677df4fa	[1419604483,2732916520,2514534887,3679577712]	[-14,-38,-7,-55]	[]	[]	1782600663	7	4
!31289b4a	!677df4fa	[1419604483,3662013048,3174462519]	[-14,-15,-4]	[]	[]	1782600663	7	4
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,2732916520,3769419105]	[4,10,-28]	1782600664	4	1
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,1419604483,4134128864]	[4,-37,-14]	1782600664	4	3
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,2732916520,4057180619,1827327771,2086340980]	[4,10,26,11,17]	1782600665	4	1
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,2732916520,4057180619,1827327771,2514534887,463541796]	[4,10,26,11,9,-52]	1782600665	4	1
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,1419604483,3662013048,4226746274,501818444]	[4,-37,-6,11,42]	1782600668	4	2
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[1039081058,1419604483,3662013048,4226746274]	[4,-37,-6,11]	1782600668	4	2
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[4294967295,1919137415,2718568032]	[-128,-2,-18]	1782600674	4	1
!677df4fa	!31289b4a	[1419604483,1039081058]	[-14,6,-54]	[4294967295,3679577712]	[-128,-54]	1782600674	4	2
!ccc1847e	!a9332e0d	[2697721328,1819530592,862581896]	[17,-51,-55]	[]	[]	1782601259	7	4
!ccc1847e	!a9332e0d	[2697721328,1819530592,1561457732,1770245652,1991451555,3175772276]	[17,-51,-54,25,-36,-49]	[]	[]	1782601260	7	2
!a0cc6f74	!acab87dc	[2358775987,197749119]	[21,-11]	[]	[]	1782601265	7	5
!ccc1847e	!a9332e0d	[2697721328,1819530592,1561457732,1770245652,1991451555,2290920299,3317224028]	[17,-51,-54,25,-36,-26,-71]	[]	[]	1782601284	7	\N
!ccc1847e	!a9332e0d	[2697721328,1819530592,1561457732,1770245652,1991451555,2290920299,3317224028]	[17,-51,-54,25,-36,-26,-71]	[]	[]	1782601285	7	\N
!ccc1847e	!a9332e0d	[2697721328,1819530592,1561457732,1770245652,1991451555,1103157404,2140729238]	[17,-51,-54,25,-36,-48,-49]	[]	[]	1782601294	7	\N
!a0cc6f74	!acab87dc	[2358775987,197749119,2839427444,1991451555,184382828,3175772276]	[21,-11,-37,-39,-53,26]	[]	[]	1782601294	7	2
!a0cc6f74	!acab87dc	[2358775987,197749119,2839427444,1991451555,3449942479,101750730]	[21,-11,-37,-39,-41,-13]	[]	[]	1782601307	7	1
!a0cc6f74	!acab87dc	[2358775987,197749119,2839427444,1991451555,3449942479,178191164]	[21,-11,-37,-39,-41,-25]	[]	[]	1782601307	7	1
!a0cc6f74	!acab87dc	[2358775987,197749119,2839427444,1991451555,3449942479,178191164,3461879968]	[21,-11,-37,-39,-41,-25,-67]	[]	[]	1782601310	7	\N
!ccc1847e	!6c73c324	[2697721328,2801488335,3623416008]	[-7,-38,-48]	[]	[]	1782601506	7	4
!ccc1847e	!6c73c324	[2697721328,1991451555,184382828,3175772276]	[-7,-38,-67,26]	[]	[]	1782601509	7	4
!ccc1847e	!6c73c324	[2697721328,2801488335,3623416008,2290920299,3317224028]	[-7,-38,-48,-7,-48]	[]	[]	1782601511	7	2
!ccc1847e	!6c73c324	[2697721328,2801488335,3623416008,2290920299,3317224028]	[-7,-38,-48,-7,-48]	[]	[]	1782601511	7	2
!ccc1847e	!6c73c324	[2697721328,1991451555,118011131]	[-7,-38,-14]	[]	[]	1782601513	7	4
!ccc1847e	!6c73c324	[2697721328,1991451555,3663334116,2997287732,1481930160]	[-7,-38,-17,-66,-42]	[]	[]	1782601523	7	2
!ccc1847e	!6c73c324	[2697721328,1991451555,4207382694,1736095740,178191164,3461879968]	[-7,-38,-63,-30,-36,-65]	[]	[]	1782601530	7	1
!31289b4a	!4303aa6d	[1419604483,382653020]	[-27,22]	[]	[]	1782601561	7	6
!31289b4a	!4303aa6d	[1419604483,4134128864]	[-27,-6]	[]	[]	1782601561	7	6
!31289b4a	!4303aa6d	[1419604483,1827327771,2086340980]	[-27,-10,24]	[]	[]	1782601562	7	6
!31289b4a	!4303aa6d	[1419604483,1827327771,2514534887,463541796]	[-27,-10,14,-54]	[]	[]	1782601562	7	6
!31289b4a	!4303aa6d	[1419604483]	[-27]	[]	[]	1782601565	7	6
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058]	[-15]	1782601565	3	2
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058,1419604483,382653020]	[-15,-35,13]	1782601565	3	2
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058,2732916520,2514534887,463541796]	[-15,4,-36,-47]	1782601565	3	1
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058,1419604483,1827327771,2086340980]	[-15,-35,-15,22]	1782601566	3	2
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058,2732916520,2514534887,3679577712]	[-15,4,-36,-48]	1782601566	3	\N
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058,1419604483,4226746274,501818444]	[-15,-35,-9,36]	1782601570	3	1
!4303aa6d	!31289b4a	[1419604483,1827327771,2514534887]	[-27,-10,14,-23]	[1039081058,1419604483,4226746274,3174462519]	[-15,-35,-9,31]	1782601572	3	\N
!a0cc6f74	!49b659a4	[2358775987,197749119,659478894,2733364616,3811069143,49169584,2013833994,3175772276]	[18,-14,-29,10,-53,-72,-43,-4]	[]	[]	1782602138	7	\N
!a0cc6f74	!49b659a4	[2358775987,197749119,659478894,2733364616,1006243337,4234303654,1481930160]	[18,-14,-29,10,-6,-32,-3]	[]	[]	1782602142	7	\N
!a0cc6f74	!49b659a4	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40]	[]	[]	1782602202	7	1
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[]	[]	1782602202	7	7
!a0cc6f74	!49b659a4	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40]	[]	[]	1782602202	7	1
!a0cc6f74	!49b659a4	[2358775987,197749119,659478894,2733364616,1127190981,2140729238,3461879968]	[18,-14,-29,10,-47,-40,-69]	[]	[]	1782602204	7	\N
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[]	[]	1782602212	7	7
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[3317224028]	[-21]	1782602220	7	6
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[3317224028,1770277124,2140729238,3461879968]	[-21,-23,-53,-66]	1782602241	7	3
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[3317224028,1770277124,2140729238,1049700872,873705748,863039765]	[-21,-23,-53,-59,-5,-43]	1782602252	7	1
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[3317224028,1770277124,2140729238,1049700872,873705748,2733364616,184382828,3175772276]	[-21,-23,-53,-59,-5,-38,-56,26]	1782602258	7	\N
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[3317224028,1770277124,2140729238,1049700872,873705748,2733364616,1481930160]	[-21,-23,-53,-59,-5,-38,-59]	1782602262	7	\N
!49b659a4	!a0cc6f74	[2358775987,197749119,659478894,2733364616,1127190981,2140729238]	[18,-14,-29,10,-47,-40,-42]	[3317224028,1770277124,2140729238,178191164,1770298828,3390862178,2050093032,67553744]	[-21,-23,-53,-14,-52,-47,-50,-29]	1782602271	7	\N
!ccc1847e	!10f3e792	[2697721328,1991451555,184382828,3175772276]	[-22,-36,-56,26]	[]	[]	1782602356	7	4
!ccc1847e	!10f3e792	[2697721328,1991451555,101750730]	[-22,-36,-40]	[]	[]	1782602356	7	4
!ccc1847e	!10f3e792	[2697721328,1991451555,118011131]	[-22,-36,-4]	[]	[]	1782602361	7	4
!ccc1847e	!10f3e792	[2697721328,1991451555,101750730,1236687268,501814708,3317224028]	[-22,-36,-40,-16,-47,-42]	[]	[]	1782602368	7	1
!ccc1847e	!10f3e792	[2697721328,1991451555,3663334116,4234303654,2533731579,1481930160]	[-22,-36,4,-46,-36,-1]	[]	[]	1782602382	7	1
!ccc1847e	!10f3e792	[2697721328,1991451555,118011131,3354435152,4144535408,2050093032,67553744]	[-22,-36,-4,-52,-33,-25,-33]	[]	[]	1782602413	7	1
!31289b4a	!da45e278	[2514534887,463541796]	[-43,-51]	[]	[]	1782602461	7	6
!31289b4a	!da45e278	[2514534887]	[-43]	[]	[]	1782602461	7	6
!31289b4a	!da45e278	[1419604483,4057180619,1827327771,2086340980]	[-17,19,12,33]	[]	[]	1782602462	7	5
!31289b4a	!da45e278	[2514534887]	[-43]	[]	[]	1782602468	7	6
!31289b4a	!da45e278	[1419604483,1039081058,3769419105,2718568032]	[-17,19,-4,-28]	[]	[]	1782602469	7	3
!4c58abc	!9d156f86	[1770201800,1481930160]	[21,-69]	[]	[]	1782602469	7	5
!31289b4a	!da45e278	[1419604483,1039081058,3769419105]	[-17,19,-4]	[]	[]	1782602469	7	4
