"id","short","long","role","hw","hasPos","lat","lon"
"!ca3ad0c6","SHN4","SheepdogShaun","CLIENT","TRACKER_T1000_E","false",0,0
"!433d30d4","30d4","🤷 30d4 🚙","CLIENT_MUTE","HELTEC_V3","false",0,0
"!b29f6fdc","","","CLIENT_BASE","","false",0,0
"!a02dfb37","CFI9","K0CFI Gateway","CLIENT_BASE","RAK4631","false",0,0
"!43c589c","CAST","29CastHour","CLIENT","HELTEC_V3","false",0,0
"!3d948919","","","CLIENT","","false",0,0
"!9e786e40","6e40","Meshtastic 6e40","CLIENT","HELTEC_V3","false",0,0
"!ba605c90","🍺","Hop Limit","CLIENT","HELTEC_V3","false",0,0
"!a43e8c47","","","CLIENT","","false",0,0
"!9e759930","","","CLIENT_BASE","","false",0,0
"!543ae870","VSBS","Vaseball ☀","CLIENT_BASE","RAK4631","false",0,0
"!a2e19d30","","","CLIENT","","false",0,0
"!c819fc5b","","","CLIENT","","false",0,0
"!c255844b","","","CLIENT","","false",0,0
"!6c73cbb4","cbb4","SunlandSneek","CLIENT","TBEAM","false",0,0
"!9e9d1b80","","","CLIENT","","false",0,0
"!a8923b66","","","CLIENT_BASE","","false",0,0
"!bc6021e6","eRNa","eR.tony •nano•","CLIENT","NANO_G2_ULTRA","false",0,0
"!9a094b79","4b79","Meshtastic 4b79","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!f384d2c9","Mnod","Menifee Node","CLIENT_BASE","RAK4631","false",0,0
"!49b66f44","","","CLIENT","","false",0,0
"!81cb81a3","","","CLIENT_MUTE","","false",0,0
"!f6623eb4","BRT","Albert","CLIENT","HELTEC_V4","false",0,0
"!6ee0ee94","","","CLIENT_BASE","","false",0,0
"!a2e952ec","MM1","March Madness Node 1","CLIENT_MUTE","T_DECK","false",0,0
"!71e4bee","4bee","RepeatingMyself","CLIENT_BASE","RAK4631","false",0,0
"!ba0cac94","ac94","WSJT425-Bravo","CLIENT","HELTEC_V3","false",0,0
"!3369eb00","","","ROUTER","","false",0,0
"!2e5ddac","tw","TW","CLIENT","HELTEC_V3","false",0,0
"!8c779b88","🤖","Rover🪐","CLIENT","TRACKER_T1000_E","false",0,0
"!98dcd20c","ZhnB","ZahnBase","CLIENT","TLORA_V2_1_1P6","false",0,0
"!336751c0","","","CLIENT","","false",0,0
"!63c2b0de","OSD1","Oceanside 1","CLIENT","RAK4631","false",0,0
"!b29fa5e8","a5e8","Meshtastic a5e8","CLIENT","HELTEC_V4","false",0,0
"!406c9d0","👾","Gleep MQTT LF - SoCalMesh.org","CLIENT_MUTE","HELTEC_WSL_V3","false",0,0
"!69842210","","","CLIENT","","false",0,0
"!e2d0ec5b","GRIM","Grim","CLIENT","HELTEC_MESH_NODE_T114","false",0,0
"!f1a7e17c","","","CLIENT","","false",0,0
"!db2b68dc","68dc","Meshtastic 68dc","CLIENT","HELTEC_V3","false",0,0
"!db587874","","","CLIENT","","false",0,0
"!69858510","Rgr2","Ranger2 WSJN937","CLIENT","HELTEC_V4","false",0,0
"!a3c1e888","","","CLIENT_BASE","","false",0,0
"!3bc12f26","","","TRACKER","","false",0,0
"!ea8f668c","668c","Meshtastic 668c","CLIENT_MUTE","SENSECAP_INDICATOR","false",0,0
"!fac790a6","JCLB","W2JCL Base","CLIENT_BASE","RAK4631","false",0,0
"!43b57890","xar1","xarbase1","CLIENT_BASE","HELTEC_V3","false",0,0
"!f669cce0","👾","Gleep Base","CLIENT_BASE","HELTEC_V4","false",0,0
"!3638bb5d","","","CLIENT","","false",0,0
"!4064344","4344","progdotgay_4344","CLIENT","HELTEC_V3","false",0,0
"!433c806c","","","CLIENT","","false",0,0
"!10f3e792","MOON","DistantMoonBase","CLIENT","RAK4631","false",0,0
"!dacbd4f6","FLNK","Field Link 1W","CLIENT_BASE","RAK4631","false",0,0
"!da45e278","SCSJ","SCSJ","ROUTER_LATE","SEEED_XIAO_S3","false",0,0
"!4c58abc","8abc","Meshtastic 8abc","CLIENT","HELTEC_V4","false",0,0
"!9e75d4b0","CAv3","CASEv3","CLIENT","HELTEC_V3","false",0,0
"!99382ba6","","","CLIENT","","false",0,0
"!b413ba77","MeMo","MeshMom","CLIENT","TRACKER_T1000_E","false",0,0
"!39ead377","d377","Meshtastic d377","CLIENT_MUTE","HELTEC_MESH_NODE_T114","false",0,0
"!e5e607b2","ABM","All By Myself","CLIENT","RAK4631","false",0,0
"!eb2c488d","txrL","Emitter Lima","CLIENT_MUTE","TRACKER_T1000_E","false",0,0
"!a0ccd810","TBOT","TBOT-AI-RPTR - Sahara & Nellis d810","CLIENT","HELTEC_V3","false",0,0
"!634044a8","KANO","HOME","CLIENT","SEEED_SOLAR_NODE","false",0,0
"!7f98ef96","FLNT","Flint-Solar-Ka6vha","CLIENT_BASE","RAK4631","false",0,0
"!7c5b0974","CMQ2","Coop MQTT 2","CLIENT_MUTE","HELTEC_V3","false",0,0
"!b8042812","","","CLIENT","","false",0,0
"!1ad102e1","","","CLIENT","","false",0,0
"!a9332e0d","2e0d","2e0d","CLIENT","TRACKER_T1000_E","false",0,0
"!3e912a08","2a08","Torrance Rooftop","CLIENT_BASE","RAK4631","false",0,0
"!69843334","Ty1","TyBase","CLIENT_BASE","HELTEC_V4","false",0,0
"!da574f04","","","ROUTER_CLIENT","","false",0,0
"!a0352680","","","CLIENT_BASE","","false",0,0
"!4a26432a","432a","Meshtastic 432a","CLIENT","RAK4631","false",0,0
"!bd4fa974","DebS","Meshtastic a974","CLIENT","HELTEC_V3","false",0,0
"!69859434","9072","ROOFTOP KOREAN","CLIENT_BASE","HELTEC_V4","false",0,0
"!ef581b8d","@UAG","Urban Armor Gear Base ","CLIENT_BASE","SEEED_WIO_TRACKER_L1","false",0,0
"!f40b8e4d","","","CLIENT","","false",0,0
"!49b79a3c","","","CLIENT","","false",0,0
"!433ad51c","","","CLIENT","","false",0,0
"!fd8e66d9","66d9","Meshtastic 66d9","CLIENT","RAK4631","false",0,0
"!9ee2d046","","","CLIENT","","false",0,0
"!a1ccf610","","","CLIENT","","false",0,0
"!37374fa9","","","CLIENT","","false",0,0
"!69857068","","","CLIENT","","false",0,0
"!cf03b8db","","","CLIENT","","false",0,0
"!d45b5328","BLDY","Baldy Village West","CLIENT_BASE","SEEED_XIAO_S3","false",0,0
"!c976080d","GSOM","GSOM","CLIENT","RAK4631","false",0,0
"!943d87a0","🪃","Outback","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!d890626","","","CLIENT_BASE","","false",0,0
"!a0cb6924","6924","Meshtastic 6924","CLIENT","HELTEC_V3","false",0,0
"!db51fb58","","","CLIENT","","false",0,0
"!598ff302","f302","Aslan's Meshtastic Solar Node f302","CLIENT","SEEED_SOLAR_NODE","false",0,0
"!7d1432fd","","","CLIENT","","false",0,0
"!3f1db8d1","RM24","R Mesh 24","CLIENT","T_ECHO","false",0,0
"!9f600d47","🃏","JOKER","CLIENT_MUTE","WISMESH_TAG","false",0,0
"!64324ca6","33NB","33North-Base Relay","CLIENT_BASE","SEEED_WIO_TRACKER_L1","false",0,0
"!ac9e670","","","CLIENT_BASE","","false",0,0
"!7db3be91","","","CLIENT","","false",0,0
"!eba0d49b","42TF","Tustin Fruits","CLIENT","RAK4631","false",0,0
"!95ea7ebb","","","CLIENT","","false",0,0
"!bd4f9c9c","mbot","MeshBot AI Chatbot","CLIENT_MUTE","HELTEC_V3","false",0,0
"!51b48a52","SR01","Thousand Oaks Solar relay 01☀️","CLIENT_BASE","THINKNODE_M6","false",0,0
"!b03d31f4","Woo3","Woolio 03","CLIENT","HELTEC_V3","false",0,0
"!be14dbf8","TSRN","Temecula Solar Remote Node","CLIENT","RAK4631","false",0,0
"!f6f6d42c","Mnod","Menifee Node","CLIENT_BASE","HELTEC_WIRELESS_PAPER","false",0,0
"!b03cf6b4","","","CLIENT","","false",0,0
"!a1e0666d","","","CLIENT","","false",0,0
"!75e1c1bc","","","ROUTER","","false",0,0
"!b1e8b476","b476","Meshtastic b476","CLIENT","TRACKER_T1000_E","false",0,0
"!1ba11624","VOYR","Voyager","CLIENT","HELTEC_V4","false",0,0
"!849a85e0","TED2","Temecula EDC 2 C_M","CLIENT_MUTE","HELTEC_V3","false",0,0
"!1b2ac7a2","CHUG","Chugathon","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!16ced228","","","CLIENT","","false",0,0
"!aca3bec","3bec","Meshtastic 3bec","CLIENT","HELTEC_V4","false",0,0
"!e4df8ce4","8ce4","Fulcrum 09","CLIENT","TRACKER_T1000_E","false",0,0
"!6c70ccee","🌤","DryBone Alex 🌤","CLIENT_BASE","SEEED_SOLAR_NODE","false",0,0
"!a48f896f","","","CLIENT","","false",0,0
"!849a6960","🥸","Glendale Packet Dealer 🥸","CLIENT_BASE","HELTEC_WIRELESS_PAPER","false",0,0
"!69831854","GNU6","GNU6 Base","CLIENT","HELTEC_V4","false",0,0
"!a20a1188","PL","Placentia Station G2","CLIENT_BASE","STATION_G2","false",0,0
"!7fe0b131","","","CLIENT","","false",0,0
"!a36a4284","","","CLIENT","","false",0,0
"!9d821fc0","👍","Vault-Tec-Service-Rep","CLIENT_MUTE","HELTEC_MESH_NODE_T114","false",0,0
"!e9743b11","","","CLIENT_MUTE","","false",0,0
"!638d74ad","","","CLIENT_BASE","","false",0,0
"!2ee4874","VRGL","Virgil (Mobile)","CLIENT","HELTEC_V3","false",0,0
"!433b9750","9750","WayUpDown","CLIENT","HELTEC_WIRELESS_PAPER","false",0,0
"!a948dd72","CAT","CATHEDRAL CITY","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!bd6de3b0","","","CLIENT","","false",0,0
"!76b43fad","EFN","Meshtastic EFN","CLIENT","RAK4631","false",0,0
"!7a6bf7cc","KSLc","KSLocal_HDMesh.org","CLIENT_BASE","TBEAM","false",0,0
"!87ab7fc","UPAT","Upland Attic","CLIENT","RAK11200","false",0,0
"!4069c4c","ET","Etiwanda","CLIENT_BASE","HELTEC_V3","false",0,0
"!49b67248","","","CLIENT","","false",0,0
"!f63921ca","","","CLIENT","","false",0,0
"!db51e710","","","CLIENT","","false",0,0
"!da5771e8","71e8","Meshtastic 71e8","CLIENT","LILYGO_TBEAM_S3_CORE","false",0,0
"!311c0994","","","CLIENT","","false",0,0
"!64bd4c7d","","","CLIENT","","false",0,0
"!ba5876fc","","","CLIENT_HIDDEN","","false",0,0
"!db51d9a4","","","CLIENT","","false",0,0
"!f96aad58","","","TAK","","false",0,0
"!7263b687","P1W","Peninsula1w","CLIENT","RAK3401","false",0,0
"!8e992962","2962","Fredric ","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!33603710","SR42","SINGER42","CLIENT","LILYGO_TBEAM_S3_CORE","false",0,0
"!2134d6c8","TPSB","Trash Panda 🦝 Solar Base","CLIENT_BASE","RAK4631","false",0,0
"!68311603","","","CLIENT_BASE","","false",0,0
"!63be0fa0","","","CLIENT","","false",0,0
"!826e531","CVN1","CV Nebra 1  (check out socalmesh.org)","CLIENT_BASE","PORTDUINO","false",0,0
"!83f9f49a","DRGN","🐉Stellario","CLIENT","RAK4631","false",0,0
"!2fbcb216","ECHO","Echo Park Roof","CLIENT_BASE","RAK4631","false",0,0
"!79857b30","","","CLIENT_MUTE","","false",0,0
"!68281566","WLT1","WiL1Tra1","CLIENT","SEEED_WIO_TRACKER_L1","false",0,0
"!48373c3c","","","CLIENT_MUTE","","false",0,0
"!da543578","3578","Meshtastic 3578","CLIENT","HELTEC_V3","false",0,0
"!b40665b8","🏰","Kingdom 🏰","ROUTER","SEEED_SOLAR_NODE","false",0,0
"!43589364","","","CLIENT","","false",0,0
"!92fdfa60","=S1=","LMS1 SoCalMesh.org","ROUTER","RAK4631","false",0,0
"!33697e18","SMCA","W6JLK Santa Monica","CLIENT","HELTEC_V3","false",0,0
"!2e87478","JAN","Just Another Node🏹","CLIENT_MUTE","M5STACK_CARDPUTER_ADV","false",0,0
"!d70f274b","","","CLIENT","","false",0,0
"!c35a7704","6CIO","KB6CIO-HOME-hAP-ac3","CLIENT_MUTE","254","false",0,0
"!acab7cb8","GTRB","GuitarBuilder 🎸","CLIENT","HELTEC_V3","false",0,0
"!f8b06e50","","","CLIENT","","false",0,0
"!e2e4f980","","","CLIENT","","false",0,0
"!69859f58","9f58","Mobile 9f58","CLIENT_MUTE","HELTEC_V4","false",0,0
"!a20a0e60","msl2","mmca msol2","CLIENT","STATION_G2","false",0,0
"!86b29b6e","","","CLIENT","","false",0,0
"!6678c226","","","CLIENT","","false",0,0
"!69826d38","","","CLIENT_MUTE","","false",0,0
"!99d4521e","","","CLIENT","","false",0,0
"!9e78ae8c","","","CLIENT_BASE","","false",0,0
"!9ea1fa68","","","CLIENT","","false",0,0
"!49c6a672","","","CLIENT_BASE","","false",0,0
"!8c9810b3","NRBB","North Redondo Beach Base","CLIENT_BASE","RAK4631","false",0,0
"!83ce67f8","T114","CN-T114-MUZI","CLIENT","HELTEC_MESH_NODE_T114","false",0,0
"!da57569c","TXTY","Toxxity","CLIENT","LILYGO_TBEAM_S3_CORE","false",0,0
"!67b1e0f","🧀","Charge-E-Cheese","CLIENT","HELTEC_MESH_POCKET","false",0,0
"!8e0f1370","RPA2","RPA2 1370","CLIENT","SEEED_SOLAR_NODE","false",0,0
"!9045c90c","🌆","SKYNET Central ","CLIENT","RAK4631","false",0,0
"!b5813f40","","","CLIENT","","false",0,0
"!6985f258","f258","Meshtastic f258","CLIENT","HELTEC_V4","false",0,0
"!2ead264","d264","Meshtastic d264","TRACKER","HELTEC_V3","false",0,0
"!5a5daaad","","","CLIENT_BASE","","false",0,0
"!bd8cfd60","JO37","AE5JO El Mundo 🌎 WSIF442","CLIENT","T_DECK","false",0,0
"!c6a522b8","","","CLIENT","","false",0,0
"!67e01225","","","CLIENT_BASE","","false",0,0
"!2eddbc0","Dwy","Dewey","CLIENT","HELTEC_V3","false",0,0
"!433c3dec","","","CLIENT","","false",0,0
"!493f37da","37da","Meshtastic 37da","ROUTER","RAK4631","false",0,0
"!814c52a6","","","CLIENT_BASE","","false",0,0
"!b3cf7dc2","","","TRACKER","","false",0,0
"!e13c640f","","","CLIENT","","false",0,0
