proto,hour,delivered,sent
PATH,77,8,182
PATH,78,8,193
PATH,79,7,187
PATH,80,6,191
PATH,81,10,197
PATH,82,11,201
PATH,83,10,210
PATH,84,10,207
PATH,85,10,203
PATH,86,9,185
PATH,87,10,198
PATH,88,11,187
PATH,89,8,174
PATH,90,8,181
PATH,91,10,162
PATH,92,9,184
PATH,93,8,186
PATH,94,9,188
PATH,95,8,185
PATH,96,9,201
PATH,97,6,198
PATH,98,11,195
PATH,99,5,189
PATH,100,10,195
PATH,101,7,192
PATH,102,6,192
PATH,103,5,182
PATH,104,6,183
PATH,105,13,191
PATH,106,12,219
PATH,107,12,215
PATH,108,12,211
PATH,109,10,213
PATH,110,9,215
PATH,111,4,190
PATH,112,6,181
PATH,113,7,169
PATH,114,4,160
PATH,115,1,152
PATH,116,3,158
PATH,117,5,178
PATH,118,3,184
PATH,119,3,188
PATH,120,5,191
PATH,121,8,186
PATH,122,6,189
PATH,123,6,186
PATH,124,3,187
PATH,125,4,174
PATH,126,3,168
PATH,127,3,168
PATH,128,4,158
PATH,129,5,172
PATH,130,5,193
PATH,131,6,164
PATH,132,4,162
PATH,133,1,166
PATH,134,4,199
PATH,135,2,200
PATH,136,2,176
PATH,137,2,163
PATH,138,2,162
PATH,139,3,152
PATH,140,5,158
PATH,141,5,153
PATH,142,5,161
PATH,143,3,160
PATH,144,3,161
PATH,145,2,163
PATH,146,3,177
PATH,147,10,194
PATH,148,9,206
PATH,149,7,181
PATH,150,7,177
PATH,151,9,172
PATH,152,10,201
PATH,153,8,206
PATH,154,5,203
PATH,155,5,202
PATH,156,5,200
PATH,157,4,194
PATH,158,4,170
PATH,159,3,167
PATH,160,8,186
PATH,161,8,177
PATH,162,9,172
PATH,163,6,172
PATH,164,6,165
PATH,165,8,158
PATH,166,2,153
PATH,167,4,119
NEXTHOP,0,31,150
NEXTHOP,1,38,141
NEXTHOP,2,52,161
NEXTHOP,3,44,160
NEXTHOP,4,45,148
NEXTHOP,5,47,165
NEXTHOP,6,57,173
NEXTHOP,7,54,176
NEXTHOP,8,48,181
NEXTHOP,9,55,180
NEXTHOP,10,56,168
NEXTHOP,11,63,182
NEXTHOP,12,53,182
NEXTHOP,13,69,191
NEXTHOP,14,60,164
NEXTHOP,15,58,174
NEXTHOP,16,56,176
NEXTHOP,17,51,160
NEXTHOP,18,44,162
NEXTHOP,19,44,164
NEXTHOP,20,43,153
NEXTHOP,21,52,155
NEXTHOP,22,58,184
NEXTHOP,23,51,178
NEXTHOP,24,55,178
NEXTHOP,25,47,187
NEXTHOP,26,60,182
NEXTHOP,27,60,179
NEXTHOP,28,53,173
NEXTHOP,29,48,165
NEXTHOP,30,55,170
NEXTHOP,31,55,167
NEXTHOP,32,51,182
NEXTHOP,33,65,189
NEXTHOP,34,76,204
NEXTHOP,35,57,183
NEXTHOP,36,68,191
NEXTHOP,37,49,197
NEXTHOP,38,56,204
NEXTHOP,39,67,173
NEXTHOP,40,62,162
NEXTHOP,41,55,159
NEXTHOP,42,61,158
NEXTHOP,43,48,142
NEXTHOP,44,59,146
NEXTHOP,45,58,185
NEXTHOP,46,54,158
NEXTHOP,47,65,167
NEXTHOP,48,54,163
NEXTHOP,49,58,160
NEXTHOP,50,47,174
NEXTHOP,51,53,182
NEXTHOP,52,56,186
NEXTHOP,53,62,191
NEXTHOP,54,47,194
NEXTHOP,55,47,181
NEXTHOP,56,46,188
NEXTHOP,57,61,203
NEXTHOP,58,67,207
NEXTHOP,59,55,204
NEXTHOP,60,69,210
NEXTHOP,61,63,195
NEXTHOP,62,64,202
NEXTHOP,63,58,199
NEXTHOP,64,67,183
NEXTHOP,65,51,182
NEXTHOP,66,58,192
NEXTHOP,67,53,164
NEXTHOP,68,54,173
NEXTHOP,69,62,171
NEXTHOP,70,58,169
NEXTHOP,71,59,157
NEXTHOP,72,56,198
NEXTHOP,73,58,188
NEXTHOP,74,57,184
NEXTHOP,75,63,193
NEXTHOP,76,69,192
NEXTHOP,77,52,182
NEXTHOP,78,57,193
NEXTHOP,79,55,187
NEXTHOP,80,67,191
NEXTHOP,81,55,197
NEXTHOP,82,52,201
NEXTHOP,83,64,210
NEXTHOP,84,54,207
NEXTHOP,85,64,203
NEXTHOP,86,62,185
NEXTHOP,87,61,198
NEXTHOP,88,59,187
NEXTHOP,89,55,174
NEXTHOP,90,64,181
NEXTHOP,91,62,162
NEXTHOP,92,52,184
NEXTHOP,93,66,186
NEXTHOP,94,59,188
NEXTHOP,95,64,185
NEXTHOP,96,59,201
NEXTHOP,97,63,198
NEXTHOP,98,69,195
NEXTHOP,99,75,189
NEXTHOP,100,64,195
NEXTHOP,101,65,192
NEXTHOP,102,46,192
NEXTHOP,103,58,182
NEXTHOP,104,50,183
NEXTHOP,105,52,191
NEXTHOP,106,62,219
NEXTHOP,107,70,215
NEXTHOP,108,59,211
NEXTHOP,109,62,213
NEXTHOP,110,65,215
NEXTHOP,111,46,190
NEXTHOP,112,57,181
NEXTHOP,113,46,169
NEXTHOP,114,45,160
NEXTHOP,115,42,152
NEXTHOP,116,47,158
NEXTHOP,117,48,178
NEXTHOP,118,57,184
NEXTHOP,119,55,188
NEXTHOP,120,56,191
NEXTHOP,121,51,186
NEXTHOP,122,48,189
