source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit	request_id
!a1d75fc4	!ac9cf04	[1780406593,4134126952,3562773560,3215555858,1692561267]	[53,-31,-30,38,45]	[]	[]	1782561666	7	2	0
!a1d75fc4	!ac9cf04	[1780406593,4134126952,3562773560,3215555858,1692561267,501821116]	[53,-31,-30,38,45,-44]	[]	[]	1782561667	7	1	0
!b1610d41	!9dd375ea	[1548600466]	[62]	[]	[]	1782561759	7	7	0
!b1610d41	!9dd375ea	[1731139699,4134538928]	[34,49]	[]	[]	1782561759	7	6	0
!b1610d41	!9dd375ea	[3783007151,2323964937]	[45,-15]	[]	[]	1782561761	7	6	0
!b1610d41	!9dd375ea	[3783007151,2323964937,70044471,1725113834]	[45,-15,52,-28]	[]	[]	1782561765	7	6	0
!1ba5ae00	!650cd503	[]	[48]	[]	[]	1782561776	2	2	0
!650cd503	!1ba5ae00	[]	[48]	[]	[]	1782561776	3	3	0
!bfa97d12	!a1d75fc4	[1780406593,4134126952,3562773560]	[52,-39,-22,42]	[2658580024,2274067141]	[-11,-43]	1782561829	5	3	0
!bfa97d12	!a1d75fc4	[1780406593,4134126952,3562773560]	[52,-39,-22,42]	[2658580024,2274067141,501821116]	[-11,-43,9]	1782561831	5	2	0
!a1d75fc4	!43a92a8	[1780406593,1130030704,2274067141]	[53,-38,-36]	[]	[]	1782562201	7	4	0
!a1d75fc4	!43a92a8	[1780406593,1130030704,2274067141,501821116]	[53,-38,-36,6]	[]	[]	1782562204	7	3	0
!43a92a8	!a1d75fc4	[1780406593,1130030704,2274067141,463615188]	[53,-38,-36,-20,28]	[463615188,73890987,2658524852,1770251612]	[17,-13,-44,-7]	1782562213	5	1	0
!43a92a8	!a1d75fc4	[1780406593,1130030704,2274067141,463615188]	[53,-38,-36,-20,28]	[463615188,73890987,2658524852,1770251612,501821116]	[17,-13,-44,-7,-18]	1782562214	5	1	0
!a1d75fc4	!da75c0a0	[1780406593,4134126952,1770251612]	[52,-44,-3]	[]	[]	1782562380	7	4	0
!a1d75fc4	!da75c0a0	[1780406593,4134126952,1770251612,501821116]	[52,-44,-3,-28]	[]	[]	1782562381	7	4	0
!a1d75fc4	!da75c0a0	[1780406593,4134126952,1770251612,1197648663,501857110]	[52,-44,-3,-15,12]	[]	[]	1782562383	7	2	0
!f6700eb0	!9dd375ea	[3783007151,2323964937]	[42,-21]	[]	[]	1782562530	7	6	0
!f6700eb0	!9dd375ea	[3783007151,2323964937,70044471,1725113834]	[42,-21,49,-29]	[]	[]	1782562538	7	6	0
!b1610d41	!ed7ae323	[4134538928]	[-32]	[]	[]	1782562659	7	7	0
!b1610d41	!ed7ae323	[1548600466]	[62]	[]	[]	1782562659	7	7	0
!b1610d41	!ed7ae323	[3783007151,2323964937]	[40,-18]	[]	[]	1782562660	7	6	0
!b1610d41	!ed7ae323	[3783007151,2323964937,70044471,1725113834]	[40,-18,51,-27]	[]	[]	1782562671	7	6	0
!a1d75fc4	!f1bfbe6a	[1780406593,1770251612]	[52,-32]	[]	[]	1782562739	7	5	0
